#   1 Xpos                ""                                              [""]
#   2 Ypos                ""                                              [""]
#   3 in_area             mask value (addmask)                           
#   4 Flux                ""                                              [""]
#   5 Fluxer              ""                                              [""]
4026.88 369.301 0 279.108 0.0214570
7939.24 19.9520 0 19.6223 0.0199470
3175.50 4.35300 0 10.1807 0.0207990
4196.22 33.9780 0 1.61646 0.0218510
7154.56 145.931 0 51.7352 0.0175990
4267.85 34.1630 0 14.8502 0.0208340
7849.14 0.195000 0 0.152120 0.0208190
4013.76 0.900000 0 0.106895 0.0218770
1983.03 0.718000 0 0.155529 0.0197640
6439.40 4.25700 0 0.0727010 0.0175990
6970.19 5.05600 0 0.141691 0.0175990
4924.60 4.71700 0 0.122037 0.0175990
5162.30 6.08600 0 0.261321 0.0187560
8070.07 5.90600 0 0.390277 0.0196250
9039.39 7.61700 0 0.0330910 0.0267250
1431.59 6.88200 0 0.375035 0.0209340
525.895 9.47900 0 0.0592640 0.0217060
8308.73 7.87900 0 0.357186 0.0205720
3219.75 1.54300 0 0.476415 0.0208860
3323.42 11.1670 0 0.0875420 0.0209150
7800.60 11.1980 0 0.171172 0.0204580
1593.15 12.1820 0 0.0535480 0.0206900
2355.12 12.0850 0 0.140788 0.0214620
9684.31 13.4590 0 0.180999 0.0443780
307.506 13.7740 0 0.0899480 0.0216280
3529.44 14.1480 0 0.0589630 0.0219540
9208.54 13.8030 0 0.157134 0.0272360
6653.91 13.5570 0 0.156933 0.0176470
5138.37 14.0670 0 0.0514420 0.0189000
8463.08 14.3330 0 0.0979700 0.0204850
875.066 13.8950 0 0.0814250 0.0219570
3752.87 11.1260 0 0.215294 0.0214080
5540.44 14.2100 0 0.0571580 0.0192180
9360.66 13.7570 0 0.232943 0.0360230
1254.59 14.8890 0 0.0560550 0.0204420
1399.34 3.08500 0 0.244775 0.0203760
1337.94 15.7130 0 0.284886 0.0213340
1847.14 16.0790 0 0.0618710 0.0204950
7091.80 16.3530 0 0.118326 0.0175990
8486.47 6.15900 0 0.271148 0.0217040
8900.38 15.6880 0 0.190927 0.0268960
3705.44 16.8780 0 0.169067 0.0222930
6415.63 5.94300 0 0.530564 0.0175990
3393.40 17.7220 0 0.0881430 0.0209520
8554.49 6.66000 0 1.00347 0.0215970
7607.94 15.4860 0 0.414143 0.0203140
2964.53 20.1990 0 0.127552 0.0215390
363.966 5.11200 0 0.604468 0.0221620
3158.29 51.4490 0 6.07015 0.0208640
3833.99 21.8170 0 0.0774140 0.0202420
7033.17 22.1940 0 0.0916530 0.0176970
6346.97 22.7600 0 0.0398100 0.0175990
1541.89 22.2970 0 0.134471 0.0209870
4676.71 24.2800 0 0.245578 0.0216150
8392.78 25.4730 0 0.0580600 0.0213060
3788.42 24.5710 0 0.191528 0.0224560
416.745 24.5870 0 0.114215 0.0221190
1718.52 25.6210 0 0.0319880 0.0208370
4242.27 24.5610 0 0.143295 0.0217560
8087.38 27.0770 0 0.215996 0.0199750
3279.70 38.9370 0 15.2207 0.0206880
1963.97 26.6300 0 0.0705950 0.0193060
6601.81 28.0920 0 0.0678870 0.0175990
853.836 25.5230 0 0.375536 0.0219250
7434.13 28.0410 0 0.0620710 0.0189320
8178.85 28.0490 0 0.143997 0.0197290
3662.99 29.2920 0 0.178192 0.0220610
4153.51 25.6340 0 0.336027 0.0226420
5260.51 30.6190 0 0.0458260 0.0195820
2995.84 31.7270 0 0.216798 0.0218180
5956.68 32.0250 0 0.193634 0.0175990
2527.82 13.9460 0 0.449841 0.0216750
5777.40 33.4360 0 0.191829 0.0175990
993.642 28.6050 0 0.331013 0.0208500
7634.15 14.3350 0 1.00758 0.0201340
6465.51 33.6500 0 0.141591 0.0175990
6146.84 30.6670 0 0.176888 0.0176680
8563.69 34.9140 0 0.131864 0.0213100
3994.60 34.4980 0 0.112410 0.0214800
2978.60 19.1230 0 0.395291 0.0217140
1116.68 35.6340 0 0.0734030 0.0208230
6193.11 35.7570 0 0.0703940 0.0175990
2206.13 21.5090 0 1.23721 0.0206270
2666.09 173.171 0 84.3865 0.0214620
1538.87 13.2350 0 0.187116 0.0206400
4360.49 36.9290 0 0.110906 0.0216370
1213.21 2.08700 0 2.08365 0.0202070
184.979 37.5100 0 0.224520 0.0221980
1442.61 38.0270 0 0.176888 0.0201450
3489.38 38.3210 0 0.155329 0.0211320
9545.42 37.8030 0 0.271549 0.0423900
6174.69 4.20100 0 0.839817 0.0175990
5868.87 17.7610 0 0.765713 0.0175990
2559.49 39.5160 0 0.223517 0.0213790
7680.06 38.6740 0 0.0765110 0.0201600
5639.13 22.4770 0 0.566262 0.0177650
431.221 39.0570 0 0.286791 0.0225930
986.845 38.9810 0 0.0295820 0.0207280
155.122 17.0890 0 0.358589 0.0214670
7590.91 12.3140 0 0.344551 0.0200310
3624.89 41.3450 0 0.223517 0.0219520
33.6550 41.2420 0 0.175183 0.0217870
7425.81 40.9440 0 0.111407 0.0194200
1019.69 41.2800 0 0.0545510 0.0205070
8059.85 40.6510 0 0.135975 0.0198390
4868.15 42.2780 0 0.122237 0.0196250
3373.08 38.5970 0 0.428081 0.0207630
9151.15 42.9420 0 0.210280 0.0267900
2738.71 42.8140 0 0.0813240 0.0219160
7432.33 39.0810 0 0.121134 0.0189620
6604.10 44.6520 0 0.0762100 0.0175990
584.289 45.2760 0 0.0719990 0.0223620
5784.40 44.9550 0 0.0726000 0.0179390
4004.52 46.0190 0 0.106494 0.0209950
3365.87 14.9560 0 0.965564 0.0197740
8094.02 41.8340 0 2.29253 0.0198960
3630.25 28.0860 0 3.94258 0.0214830
2649.68 42.4860 0 0.284986 0.0213790
4562.74 44.7980 0 0.173479 0.0209030
4222.75 34.6400 0 0.492559 0.0216300
3457.01 46.5340 0 0.0754080 0.0213520
8733.22 52.8730 0 8.33650 0.0259240
6382.42 40.2720 0 0.309855 0.0175990
362.506 46.2710 0 0.236854 0.0222430
4064.79 42.4250 0 0.227929 0.0221250
139.926 46.9580 0 0.295114 0.0217940
7501.52 48.4720 0 1.26660 0.0200400
9195.51 48.5520 0 0.169768 0.0264460
1666.14 45.3960 0 0.224921 0.0208500
2366.08 50.4290 0 0.0937590 0.0217290
3245.20 50.5090 0 0.119530 0.0210230
6108.43 50.5950 0 0.0693910 0.0175990
9780.69 50.5850 0 0.253199 0.0435740
